REFERENCE_ID,SOURCE,TARGET,SOURCE_INVENTORY_ID,TARGET_INVENTORY_ID,REFERENCE_TYPE,REFERENCE_FORM,EVIDENCE,CONFIDENCE,OPERATIONAL_IMPACT
REF-000001,.gitignore,.vscode/settings.json,INV-0001,INV-0003,DOCUMENTARY_DEPENDENCY,PATH_REFERENCE,line 17: .vscode/settings.json,HIGH,Path/name-sensitive consumer; relocation may require update
REF-000002,advanced_engine.py,logs/SPR007B_BOOTSTRAP.log,INV-0005,INV-0109,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 306: ""bootstrap_log"": str(self.environment.logs_dir / ""SPR007B_BOOTSTRAP.log""),",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000003,advanced_engine.py,logs/SPR007B_ENGINE.log,INV-0005,INV-0110,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 307: ""engine_log"": str(self.environment.logs_dir / ""SPR007B_ENGINE.log""),",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000004,advanced_engine.py,logs/SPR007B_ENGINE.log,INV-0005,INV-0110,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 578: logger = StructuredLogger(environment.logs_dir / ""SPR007B_ENGINE.log"", ""engine"")",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000005,advanced_engine.py,reports/SPR007B_ADVANCED_REPORT.json,INV-0005,INV-0116,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 309: ""report_json"": str(self.environment.reports_dir / ""SPR007B_ADVANCED_REPORT.json""),",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000006,advanced_engine.py,reports/SPR007B_ADVANCED_REPORT.json,INV-0005,INV-0116,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 609: environment.reports_dir / ""SPR007B_ADVANCED_REPORT.json"",",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000007,advanced_engine.py,reports/SPR007B_ADVANCED_REPORT.json,INV-0005,INV-0116,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 636: environment.reports_dir / ""SPR007B_ADVANCED_REPORT.json"",",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000008,advanced_engine.py,reports/SPR007B_ADVANCED_REPORT.md,INV-0005,INV-0117,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 308: ""report_md"": str(self.environment.reports_dir / ""SPR007B_ADVANCED_REPORT.md""),",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000009,advanced_engine.py,reports/SPR007B_ADVANCED_REPORT.md,INV-0005,INV-0117,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 608: environment.reports_dir / ""SPR007B_ADVANCED_REPORT.md"",",MEDIUM,Path/name-sensitive consumer; relocation may require update
REF-000010,advanced_engine.py,reports/SPR007B_ADVANCED_REPORT.md,INV-0005,INV-0117,OPERATIONAL_DEPENDENCY,FILENAME_REFERENCE,"line 635: environment.reports_dir / ""SPR007B_ADVANCED_REPORT.md"",",MEDIUM,Path/name-sensitive consumer; relocation may require update
