file,line,spaces,tabs,logical,previous,next,type,effect,sha256,classification
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,3,2,0,**Date:** 2026-08-13,,**Status:** `PROPOSED — READY FOR HUMAN RATIFICATION`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,4,2,0,**Status:** `PROPOSED — READY FOR HUMAN RATIFICATION`,**Date:** 2026-08-13,**Scope:** P-018-01 distribution architecture only,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,5,2,0,**Scope:** P-018-01 distribution architecture only,**Status:** `PROPOSED — READY FOR HUMAN RATIFICATION`,**Verdict:** `ADR-007 READY FOR HUMAN RATIFICATION — FCP PACKAGING ARCHITECTURE DEFINED`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,468,2,0,`RECOMMENDED_ARCHITECTURE: INDEPENDENT CKO-FCP DISTRIBUTION WITH CKO_FCP NAMESPACE`,,`TARGET_NAMESPACE: cko_fcp`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,469,2,0,`TARGET_NAMESPACE: cko_fcp`,`RECOMMENDED_ARCHITECTURE: INDEPENDENT CKO-FCP DISTRIBUTION WITH CKO_FCP NAMESPACE`,`TARGET_DISTRIBUTION: cko-fcp`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,470,2,0,`TARGET_DISTRIBUTION: cko-fcp`,`TARGET_NAMESPACE: cko_fcp`,`TARGET_REPOSITORY_LOCATION: packages/cko-fcp/src/cko_fcp/`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,471,2,0,`TARGET_REPOSITORY_LOCATION: packages/cko-fcp/src/cko_fcp/`,`TARGET_DISTRIBUTION: cko-fcp`,`VERSIONING_POLICY: INDEPENDENT SEMVER DISTRIBUTION VERSION; EXPLICIT SEPARATE FCP PROTOCOL COMPATIBILITY VERSION`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,472,2,0,`VERSIONING_POLICY: INDEPENDENT SEMVER DISTRIBUTION VERSION; EXPLICIT SEPARATE FCP PROTOCOL COMPATIBILITY VERSION`,`TARGET_REPOSITORY_LOCATION: packages/cko-fcp/src/cko_fcp/`,`PACKAGE_DISCOVERY_POLICY: DISTRIBUTION-LOCAL SRC DISCOVERY LIMITED TO packages/cko-fcp/src`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,473,2,0,`PACKAGE_DISCOVERY_POLICY: DISTRIBUTION-LOCAL SRC DISCOVERY LIMITED TO packages/cko-fcp/src`,`VERSIONING_POLICY: INDEPENDENT SEMVER DISTRIBUTION VERSION; EXPLICIT SEPARATE FCP PROTOCOL COMPATIBILITY VERSION`,`PUBLIC_API_IMPACT: NONE`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,474,2,0,`PUBLIC_API_IMPACT: NONE`,`PACKAGE_DISCOVERY_POLICY: DISTRIBUTION-LOCAL SRC DISCOVERY LIMITED TO packages/cko-fcp/src`,`PUBLIC_API_COUNTS_EXPECTED: 646 / 646 / 646`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,475,2,0,`PUBLIC_API_COUNTS_EXPECTED: 646 / 646 / 646`,`PUBLIC_API_IMPACT: NONE`,`PUBLIC_API_FINGERPRINT_EXPECTED: d47d3fea99b5773ec2eb97fce56d8f542211fb3104951f61b93f5265b16f9232`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,476,2,0,`PUBLIC_API_FINGERPRINT_EXPECTED: d47d3fea99b5773ec2eb97fce56d8f542211fb3104951f61b93f5265b16f9232`,`PUBLIC_API_COUNTS_EXPECTED: 646 / 646 / 646`,`BREAKING_CHANGE_REQUIRED: NO`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,477,2,0,`BREAKING_CHANGE_REQUIRED: NO`,`PUBLIC_API_FINGERPRINT_EXPECTED: d47d3fea99b5773ec2eb97fce56d8f542211fb3104951f61b93f5265b16f9232`,`PACKAGING_CHANGE_REQUIRED: YES`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,478,2,0,`PACKAGING_CHANGE_REQUIRED: YES`,`BREAKING_CHANGE_REQUIRED: NO`,`FILE_MOVE_REQUIRED: YES`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,479,2,0,`FILE_MOVE_REQUIRED: YES`,`PACKAGING_CHANGE_REQUIRED: YES`,`P1_R17_REPLAY_REQUIRED: YES — PACKAGING-FOCUSED INCREMENTAL REPLAY`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,480,2,0,`P1_R17_REPLAY_REQUIRED: YES — PACKAGING-FOCUSED INCREMENTAL REPLAY`,`FILE_MOVE_REQUIRED: YES`,`P_018_01_CONSOLIDATION_AUTHORIZED: NO`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/adr/ADR-007_FCP_DISTRIBUTION_PACKAGING_ARCHITECTURE.md,481,2,0,`P_018_01_CONSOLIDATION_AUTHORIZED: NO`,`P1_R17_REPLAY_REQUIRED: YES — PACKAGING-FOCUSED INCREMENTAL REPLAY`,`P_018_02_AUTHORIZED: NO`,md,removal changes Markdown hard break to a soft break,f8081730000a891c74f510c1151a23f8529da71d72d10c13be7b59bc3989052f,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_IMPLEMENTATION_REPORT.md,3,2,0,**Date:** 2026-08-12,,**Authorization:** REV-003 `AUTHORIZED_FOR_IMPLEMENTATION`,md,removal changes Markdown hard break to a soft break,7b8369e0bce642e9abd82e62c12f583625772ec53af64d96aebe732e00314879,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_IMPLEMENTATION_REPORT.md,4,2,0,**Authorization:** REV-003 `AUTHORIZED_FOR_IMPLEMENTATION`,**Date:** 2026-08-12,**Verdict:** `P-018-01 IMPLEMENTED WITH BLOCKERS — NOT READY FOR CONSOLIDATION`,md,removal changes Markdown hard break to a soft break,7b8369e0bce642e9abd82e62c12f583625772ec53af64d96aebe732e00314879,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_IMPLEMENTATION_REPORT.md,55,2,0,`PUBLIC_API_IMPACT: NONE`,,`BREAKING_CHANGE: NO`,md,removal changes Markdown hard break to a soft break,7b8369e0bce642e9abd82e62c12f583625772ec53af64d96aebe732e00314879,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_P1-R17_VALIDATION_REPORT.md,3,2,0,**Date:** 2026-08-13,,**Operation:** ENV-002 — Python 3.13 validation environment provisioning,md,removal changes Markdown hard break to a soft break,0aa06652e2985827512c0f6c5d4f0f92c49596ed8b964ed8fc2573329302f32e,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_P1-R17_VALIDATION_REPORT.md,4,2,0,**Operation:** ENV-002 — Python 3.13 validation environment provisioning,**Date:** 2026-08-13,**Classification:** `ENVIRONMENT_FAILURE`,md,removal changes Markdown hard break to a soft break,0aa06652e2985827512c0f6c5d4f0f92c49596ed8b964ed8fc2573329302f32e,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_P1-R17_VALIDATION_REPORT.md,80,2,0,`P1_R17_STATUS: BLOCKED`,,`P_018_01_VALIDATION_STATUS: BLOCKED`,md,removal changes Markdown hard break to a soft break,0aa06652e2985827512c0f6c5d4f0f92c49596ed8b964ed8fc2573329302f32e,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_P1-R17_VALIDATION_REPORT.md,81,2,0,`P_018_01_VALIDATION_STATUS: BLOCKED`,`P1_R17_STATUS: BLOCKED`,`READY_FOR_GIT_CONSOLIDATION: NO`,md,removal changes Markdown hard break to a soft break,0aa06652e2985827512c0f6c5d4f0f92c49596ed8b964ed8fc2573329302f32e,MARKDOWN_INTENTIONAL_HARD_BREAK
docs/sprints/SPR-018_P-018-01_P1-R17_VALIDATION_REPORT.md,82,2,0,`READY_FOR_GIT_CONSOLIDATION: NO`,`P_018_01_VALIDATION_STATUS: BLOCKED`,`PUBLIC_API_IMPACT: NONE`,md,removal changes Markdown hard break to a soft break,0aa06652e2985827512c0f6c5d4f0f92c49596ed8b964ed8fc2573329302f32e,MARKDOWN_INTENTIONAL_HARD_BREAK
