ID,TYPE,SOURCE,REQUIREMENT,PACKAGE,EVIDENCE,STATUS,BLOCKER,ACTION,OWNER_ROLE,IMPLEMENTATION_GATE
COND-001,CONDITION,REV-002 U,"Executable schemas types cardinalities invariants errors and transitions",P-018-01..05,"SPR-018_TECHNICAL_SPECIFICATION sections 3-4 and 10",SATISFIED,NO,"Approve specification and audit each package",Architecture Owner,BEFORE_SPR018_IMPLEMENTATION
COND-002,CONDITION,REV-002 U,"Deterministic authority by source domain act validity precedence and blockers",P-018-02,"Technical specification section 5 role template",PARTIALLY_SATISFIED,YES,"Approve named matrix instance per real perimeter",Governance and Domain Authorities,BEFORE_P-018-02
COND-003,CONDITION,REV-002 U,"Version idempotency retry timeout freshness revocation and negotiation policies",P-018-03,"Technical specification section 6",PARTIALLY_SATISFIED,YES,"Approve numeric environment and source profiles",Technical and Operations Owners,BEFORE_P-018-03
COND-004,CONDITION,REV-002 U,"Trust authorization minimization redaction retention events metrics and SLOs",P-018-02..04,"Technical specification section 7",PARTIALLY_SATISFIED,YES,"Approve concrete trust IAM retention and incident profiles",Security Privacy and Data Authorities,BEFORE_P-018-02-03-04
COND-005,CONDITION,REV-002 U,"Keep FCP external and verify 646/646/646 before and after",P-018-01..05,"Technical specification section 9; SPR-017 reports",SATISFIED,NO,"Execute automated source and wheel regression for every package",SDK/API Owner,BEFORE_PACKAGE_AND_RELEASE
D0,GATE,GOV-002 6.1 and 11,"Authorize Cycle II under sufficient controls",ALL,"Definition found; no approval act located",UNSATISFIED,YES,"Approve authority scope protections and escalation evidence",Governance Authority,BEFORE_WAVE_II_1
D1,GATE,GOV-002 6.2 and 11,"Accept authorized reliable inventory evidence by trail",P-018-01..04,"Definition and prerequisite references only",UNSATISFIED,YES,"Produce and owner-validate coverage limits Provenance and authorization",Source Owner and Data Authority,BEFORE_MAPPING
D2,GATE,GOV-002 6.3 and 11,"Select treatment of each capability",P-018-01..04,"Definition and prerequisite references only",UNSATISFIED,YES,"Approve compose maintain decide or close per item",Architecture and Domain Owners,BEFORE_COMPOSITION
D3,GATE,GOV-002 6.4 and 11,"Authorize controlled pilot preparation",P-018-01..04,"Definition and prerequisite references only",UNSATISFIED,YES,"Approve composition security tests and rollback",Architecture Security and Data Authorities,BEFORE_PILOT_PREPARATION
D4,GATE,GOV-002 6.5 and 11,"Homologate supervised pilot",P-018-03..05,"No applicable pilot homologation evidence located",UNSATISFIED,YES,"Run separately authorized pilot and record human decision",Domain Owner and Governance,BEFORE_WAVE_II_5
