DECISION_ID,INVENTORY_ID,CURRENT_PATH,CURRENT_ACTION,REFERENCE_RISK,DECISION_PROPOSED,IMPACT_CLASS,BLOCKS_REL001,BLOCKS_OPS005,BLOCKS_RFC002,BLOCKS_SPR018,REMEDIATION_REQUIRED,HUMAN_APPROVAL_REQUIRED,RATIONALE
"DEC-0001","INV-0002",".vscode/extensions.json","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0002","INV-0003",".vscode/settings.json","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0003","INV-0004",".vscode/tasks.json","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (PATH_REFERENCED); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0004","INV-0006","ARCH-001_CKO_CORE_MASTER_ARCHITECTURE.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0005","INV-0007","ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.1.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0006","INV-0008","ARCH-001_CKO_CORE_MASTER_ARCHITECTURE_v1.2.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0007","INV-0009","ARQUITETURA_ATUAL.txt","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0008","INV-0013","CKO_CORE_BASELINE_CONSOLIDATION_REPORT.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0009","INV-0014","CKO_CORE_BASELINE_EXECUTION_REPORT.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0010","INV-0015","CKO_CORE_V1_ARCHITECTURE_DECISION.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0011","INV-0016","CKO_CORE_V1_ARCHITECTURE_MAP.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0012","INV-0017","CKO_CORE_V1_COMPOSITION_ROOT.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0013","INV-0018","CKO_CORE_V1_DEPENDENCY_MATRIX.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0014","INV-0019","CKO_CORE_V1_EXCEPTION_CATALOG.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0015","INV-0020","CKO_CORE_V1_EXCEPTION_HIERARCHY.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0016","INV-0021","CKO_CORE_V1_GAP_ANALYSIS.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0017","INV-0022","CKO_CORE_V1_LOGGING_EVENT_CATALOG.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0018","INV-0023","CKO_CORE_V1_PUBLIC_API_CATALOG.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0019","INV-0024","CKO_CORE_V1_RELEASE_CERTIFICATION.md","HOLD","MEDIUM_REFERENCE_RISK","HOLD","BLOCKS_OPS005_ONLY; NON_BLOCKING_TECHNICAL_DEBT","NO","YES","NO","NO","YES","YES","HOLD institucional mantido (MIXED_REFERENCE); liberar somente após decisão humana sobre autoridade, retenção, custódia, segurança e consumidores aplicáveis. Isolável da REL-001."
"DEC-0020","INV-0025","CKO_CORE_V1_SEMANTIC_READINESS_REPORT.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (PATH_REFERENCED); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
"DEC-0021","INV-0026","CKO_CORE_V1_TEST_AND_COVERAGE_REPORT.md","MOVE","HIGH_REFERENCE_RISK","KEEP_CURRENT_PATH","BLOCKS_OPS005_ONLY","NO","YES","NO","NO","YES","YES","Permanecer no caminho atual (MIXED_REFERENCE); risco HIGH_REFERENCE_RISK afeta mudança física futura e exige mapa, atualização e validação de referências antes da OPS-005, mas não bloqueia consolidação documental seletiva."
